batch_group,description,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,美的,oem_manual,technical_manual,ahu,27,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/美的/midea_ahu_and_mahu_technical_catalog_1703_7c1612_air_handling_unit_modular_air_handling_unit_pdf.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,ahu,8,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/麦克维尔/03_麦克维尔双壁柜式空气处理机_MDW.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,ahu,8,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/麦克维尔/02_麦克维尔柜式空气处理机_MSW.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,ahu,4,mixed,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/特灵/特灵水平吊顶式空气处理机组.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,ahu,16,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/特灵/特灵样本trane_BDCC风管式空气处理机组.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,ahu,16,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/特灵/LWHA-Marvel水平吊顶式空气处理机组BC-PRC002-ZH_20141211.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,ahu,24,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/特灵/LPCQ空气处理机组_LPCQ-PRC001-ZH_20160323.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,16,text,doc_level_single_call,85,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/05_麦克维尔单螺杆式冷水机组_PFS.MJ.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,盾安,oem_manual,technical_manual,chiller,18,mixed,doc_level_single_call,26,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/盾安/水冷式冷水机组201206.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,operation_installation_manual,screw_chiller,195,text,doc_level_single_call,24,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/RTAC风冷螺杆式冷水机组技术手册（195页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,Clivet,oem_manual,technical_manual,magnetic_bearing_chiller,20,mixed,doc_level_single_call,24,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/Clivet/Clivet_磁悬浮变频离心式冷水机组_DJ-CX-2D03.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,盾安,oem_manual,technical_manual,screw_chiller,14,text,doc_level_single_call,18,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/盾安/环保型水冷螺杆201206.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,air_cooled_modular_heat_pump,15,text,doc_level_single_call,13,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/10_麦克维尔模块式风冷冷水（热泵）机组综合样本_MAC.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,三菱重工,oem_manual,operation_installation_manual,water_source_heat_pump,77,text,doc_level_single_call,12,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/三菱重工/ETW离心高温水源热泵技术手册最新版（77页）.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,格力,oem_manual,operation_installation_manual,screw_chiller,88,text,doc_level_single_call,10,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/格力/LHD_系列水冷冷水螺杆机组技术服务手册（88页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,盾安,oem_manual,technical_manual,chiller,10,text,doc_level_single_call,9,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/盾安/工业冷水机组.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,11,mixed,doc_level_single_call,8,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/12_麦克维尔单螺杆冷水机组（R134a）CUWD~B5Y-HR系列.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,53,text,doc_level_single_call,6,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/麦克维尔水冷螺杆方案书(WHS).pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,30,text,doc_level_single_call,6,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/RTWD水冷螺杆式冷水机组_RLC-PRC034-ZH_20141020.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,盾安,oem_manual,technical_manual,centrifugal_chiller,8,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/盾安/离心式冷水机组201206.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,盾安,oem_manual,technical_manual,screw_chiller,8,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/盾安/降模式螺杆冷水201206.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,10,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/11_麦克维尔单螺杆冷水机组（R134a）_CUWD-B5Y系列.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,centrifugal_chiller,80,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/特灵离心式水冷冷水机.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,technical_manual,screw_chiller,10,mixed,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/约克/约克YEAS风冷螺杆热泵..pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,格力,oem_manual,operation_installation_manual,centrifugal_chiller,69,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/格力/C系列离心式冷水机组技术服务手册（69页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,格力,oem_manual,operation_installation_manual,centrifugal_chiller,69,text,doc_level_single_call,5,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/格力/C系列离心式冷水机组技术手册（69页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,56,text,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/MHS大型风冷螺杆冷水热泵机组.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,4,mixed,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/20141017_RTXC螺杆式风冷热泵机组_RLC-SLB033-ZH.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,air_cooled_modular_heat_pump,12,text,doc_level_single_call,3,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/07_麦克维尔模块式水冷冷水机组_WGZ.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,2,text,doc_level_single_call,3,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/RTHD水冷螺杆式冷水机组RTHD-SLB002-ZH_20141209.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,4,mixed,doc_level_single_call,3,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/20141017_RTHE_HE灵越系列_水冷螺杆式冷水机组_RTHG-SLB001-ZH.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,technical_manual,air_cooled_modular_heat_pump,4,text,doc_level_single_call,3,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/约克/约克模块式风冷冷水机组_空气源热泵机组样本.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,8,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/13_麦克维尔单螺杆热水机组(R134a)_CUWD-HC系列.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,4,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/04_麦克维尔变频单螺杆式冷水机组_PFSV.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,36,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/02_麦克维尔“开拓者”系列风冷单螺杆式热泵机组_MHS.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,operation_installation_manual,centrifugal_chiller,47,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/单、双压缩机离心式冷水机组安装维修手册.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,operation_installation_manual,centrifugal_chiller,52,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/PE、WS_系列进口离心机组操作维护手册（49页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,operation_installation_manual,air_cooled_modular_heat_pump,71,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/Coolman风冷热泵式冷水机组安装维修手册.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,operation_installation_manual,air_cooled_modular_heat_pump,71,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/特灵风冷热泵式冷水机组安装维修手册.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,4,mixed,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/20141020_RTAC_螺杆式风冷冷水机组RTAC-SLB002-ZH.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,16,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/20140529_RTXA+系列风冷螺杆式热泵机组_RTXA-PRC001-ZH.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,centrifugal_chiller,54,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/特灵RTHD离心机组抽气装置54页.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,technical_manual,screw_chiller,16,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/约克/约克螺杆机YR.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,格力,oem_manual,operation_installation_manual,air_cooled_modular_heat_pump,18,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/格力/模块风冷冷水机组控制系统手册-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,格力,oem_manual,operation_installation_manual,centrifugal_chiller,69,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/格力/格力离心式冷水机组技术服务手册.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,13,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/04_麦克维尔大型风冷单螺杆式冷水热泵热回收机组_MCS-FSP、MHS-FSP、MHS-FSR.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,23,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/03_麦克维尔大型风冷单螺杆式冷水热泵机组_MCS-F、MHS-F.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,technical_manual,screw_chiller,7,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/01_麦克维尔自然冷却风冷螺杆冷水机组_MCSFC.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,operation_installation_manual,centrifugal_chiller,29,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/离心式冷水机组电气与控制手册（29页）.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,operation_installation_manual,screw_chiller,63,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/WMD单螺杆安装维护手册（63页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,operation_installation_manual,screw_chiller,64,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/MS型半封闭单螺杆式压缩机维护手册（64页）-.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,centrifugal_chiller,20,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/CTV三级压缩离心机2012样本.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,4,mixed,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/20130617_水冷螺杆式冷（热）水机组_RTWS-SLB001-ZH.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,air_cooled_modular_heat_pump,10,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/AquaKool风冷冷水（热泵）机组CGHR-PRC002A-ZH_20151124.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,air_cooled_modular_heat_pump,2,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/PKGP-SLB013-ZH_Koolman风冷冷水（热泵）机组系列.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,air_cooled_modular_heat_pump,16,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/CGHR-PRC001A-ZH_AquaTrine风冷冷水（热泵）空调热水机组.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,centrifugal_chiller,40,mixed,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/特灵CVGH离心机螺杆机资拆机料.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,technical_manual,screw_chiller,6,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/约克/约克YEWS水冷螺杆机（100－250RT）..pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,technical_manual,centrifugal_chiller,12,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/约克/约克CYK地源离心热泵（大冷量）..pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,美意,oem_manual,technical_manual,chiller,4,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/美意/GB19577-2004冷水机组能效限定值及能源效率等级.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,美意,oem_manual,technical_manual,water_source_heat_pump,5,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/美意/青干水水满液螺杆式水源热泵机组介绍.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,美意,oem_manual,technical_manual,screw_chiller,7,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/美意/莫问系列水水螺杆市场指导201301.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,麦克维尔,oem_manual,operation_installation_manual,screw_chiller,24,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/麦克维尔/MCSMHS大型风冷螺杆冷水热泵机组手册.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,oem_manual,technical_manual,screw_chiller,8,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/特灵/特灵RTWD水冷螺杆机组.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,约克,oem_manual,operation_installation_manual,air_cooled_modular_heat_pump,23,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/约克/风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P1,特灵,industry_standard,standard_reference,standard_reference,20,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/standards/特灵/特灵暖通空调系统设计指南.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,格力,oem_manual,technical_manual,ahu,14,text,doc_level_single_call,8,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/3_格力GZK系列组合式空调机组【19-D-I】.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,麦克维尔,oem_manual,technical_manual,ahu,12,text,doc_level_single_call,6,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/MDX-C变频直膨空气处理机组样本.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,美的,oem_manual,operation_installation_manual,ahu,12,text,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/20250710-美的年度空调箱产品手册-MD-KTXA-2F07-已定稿-校稿.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,麦克维尔,oem_manual,technical_manual,ahu,10,text,doc_level_single_call,4,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/MDM-E组合式空气处理机组_PM-MDME-C002.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,unknown,oem_manual,technical_manual,ahu,20,text,doc_level_single_call,3,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/7.组合式空气处理机组HC3Y.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,麦克维尔,oem_manual,technical_manual,ahu,11,text,doc_level_single_call,2,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/MDW-C紧凑型空气处理机组_PM-MDWC-C003.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,麦克维尔,oem_manual,technical_manual,ahu,2,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/unknown/01_MDW-C卧式射流机组折页_PF-MDWC-C001.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,Carrier,oem_manual,technical_manual,ahu,32,text,doc_level_single_call,1,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/Carrier/carrier_39cne_ahu_technical_catalog_catalogue_carrier_39cne_pdf.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,Holtop,oem_manual,technical_manual,ahu,1,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/Holtop/holtop_zh_compact_air_handling_units_ahu.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,Holtop,oem_manual,technical_manual,ahu,2,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/Holtop/holtop_zh_packaged_fresh_air_handling_units_fahu.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,Holtop,oem_manual,technical_manual,ahu,1,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/Holtop/holtop_zh_combine_air_handling_units_ahu.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,Holtop,oem_manual,technical_manual,ahu,1,text,doc_level_single_call,0,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/ahu_cn/Holtop/holtop_zh_industrial_air_handling_units_ahu.pdf
phase1_keep_text,phase1 p1+p2 text/mixed hvac corpus,P2,格力,oem_manual,technical_manual,magnetic_bearing_chiller,16,text,doc_level_single_call,39,/Users/asteroida/work/KnowFabric/storage/authority_sources/hvac/_phase1_batch/chiller_cn/unknown/CCE磁悬浮变频离心式冷水机组(20-H-I).pdf
