knowledge_object_id,title,old_ontology_class_id,new_ontology_class_id,old_canonical_key,new_canonical_key,primary_doc_id,primary_file_name
ko_06278a004d0ed2a1,"名义工况下, 机组制冷水侧进出口水温",,water_source_heat_pump,hvac::performance_spec:名义工况下_机组制冷水侧进出口水温,hvac:water_source_heat_pump:performance_spec:名义工况下_机组制冷水侧进出口水温_2,doc_b9c9d76283cc4f38,p-mwh-1303-v1.1-p水水螺杆式水源热泵冷水机组满液134a青干系列.pdf
ko_0671c83b515d360c,机组重量 (立式),,ahu,hvac::performance_spec:机组重量_立式,hvac:ahu:performance_spec:机组重量_立式_2,doc_70d93ac2ac9c4fd4,美意空气处理机组7.9-2ok_OEM.pdf
ko_06f1cc43cff68c78,水压力,,ahu,hvac::performance_spec:水压力,hvac:ahu:performance_spec:水压力_2,doc_f97a69993a6e4511,VAH-2405-空气处理机组一吊顶系列.pdf
ko_077ab8541ff53152,名义工况下，机组制热源水侧进水温度,,screw_chiller,hvac::performance_spec:名义工况下_机组制热源水侧进水温度_名义工况下_机组制热源水侧进水温度_2,hvac:screw_chiller:performance_spec:名义工况下_机组制热源水侧进水温度,doc_e2b7a25c54bb445c,MWH1109XH01水水螺杆冷水机组（C系列R22）.pdf
ko_07d7122ab0a26872,制热输入功率,,water_source_heat_pump,hvac::performance_spec:制热输入功率_制热输入功率_5,hvac:water_source_heat_pump:performance_spec:制热输入功率,doc_25cd05f610454bae,p-mwh-1212-v1.1-d青干系列水水螺杆式水源热泵冷水机组满液134a青干系列.pdf
ko_08e4b0e8ddead909,蒸发器 水流量,,screw_chiller,hvac::performance_spec:蒸发器_水流量,hvac:screw_chiller:performance_spec:蒸发器_水流量_2,doc_45308079fca94508,MC-H水冷螺杆样本DJ-17-CA-01A.pdf
ko_09767f6ecd42e24f,保温材料,,screw_chiller,hvac::performance_spec:保温材料,hvac:screw_chiller:performance_spec:保温材料_2,doc_988e2416d642411c,06_麦克维尔单螺杆式冷水机组_PFS.XE.pdf
ko_09a32df98a96575f,生活热水量,,screw_chiller,hvac::performance_spec:水流量_生活热水量,hvac:screw_chiller:performance_spec:生活热水量_2,doc_727ebd66b2914838,风冷螺杆201103.pdf
ko_09e150d15bbbdb73,名义工况余热回收生活热水进出水温度,,screw_chiller,hvac::performance_spec:名义工况余热回收生活热水进出水温度,hvac:screw_chiller:performance_spec:名义工况余热回收生活热水进出水温度_2,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_0a6f6b2683dcfbad,产热水量,,air_cooled_modular_heat_pump,hvac::performance_spec:空调额定水流量_产热水量,hvac:air_cooled_modular_heat_pump:performance_spec:产热水量_2,doc_85ced8934a4e4cad,风冷冷水（热泵）空调热水机组2015JC12--CGHR16DH.pdf
ko_0ae88de719985370,启动方式,,screw_chiller,hvac::performance_spec:启动方式,hvac:screw_chiller:performance_spec:启动方式_2,doc_71aa56acd1254dec,09_麦克维尔单螺杆式冷水机组_WMD.pdf
ko_0b0c6046e228414d,制冷最大负荷工况使用侧出口水温,,centrifugal_chiller,hvac::performance_spec:制冷最大负荷工况使用侧出口水温,hvac:centrifugal_chiller:performance_spec:制冷最大负荷工况使用侧出口水温,doc_9cd6680a1a704130,CC系列离心机组.pdf
ko_0b4510fe14eab9dd,总输入功率,,screw_chiller,hvac::performance_spec:总输入功率,hvac:screw_chiller:performance_spec:总输入功率_2,doc_c33e7b4d18e442e9,LMS系列四管制风冷螺杆机组（23-F-I）0000(1).pdf
ko_0bfd36ec38711c08,冷却水温度差,,chiller,hvac::performance_spec:冷却水温度差,hvac:chiller:performance_spec:冷却水温度差,doc_d7623d21517a41fd,水冷式冷水机组安装、使用、维护说明书.pdf
ko_0c0b21b903fcda4a,名义功率,,screw_chiller,hvac::performance_spec:名义功率_名义功率_2,hvac:screw_chiller:performance_spec:名义功率,doc_b9f6ab162a964ef3,7，水冷螺杆冷水.pdf
ko_0c84d414b4aec1d3,热水出口温度,,water_source_heat_pump,hvac::performance_spec:热水出口温度,hvac:water_source_heat_pump:performance_spec:热水出口温度_2,doc_5faa3373b945486d,ETW离心高温水源热泵技术手册（73页）.pdf
ko_0caa1d48f7489a1d,蒸发器冷冻水水流量,,screw_chiller,hvac::performance_spec:蒸发器冷冻水水流量,hvac:screw_chiller:performance_spec:蒸发器冷冻水水流量_2,doc_fd82ea40997c436d,10.10水冷螺杆式冷水机组满液r22E系列mswv0..pdf
ko_0cbed54cb2a95694,冷冻水进水温度,,screw_chiller,hvac::performance_spec:冷冻水进水温度,hvac:screw_chiller:performance_spec:冷冻水进水温度_2,doc_bc457b67453f492b,07_麦克维尔单螺杆式冷水机组_WHS.B、HHS.B.pdf
ko_0ced4f6a1232b8a7,名义工况下制冷负载侧进出水温度,,screw_chiller,hvac::performance_spec:名义工况下制冷负载侧进出水温度,hvac:screw_chiller:performance_spec:名义工况下制冷负载侧进出水温度_2,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_0d5aa4e054c16199,冰水器耐压,,screw_chiller,hvac::performance_spec:冷凝器水侧耐压_冰水器耐压,hvac:screw_chiller:performance_spec:冰水器耐压,doc_4074061206b94f00,干式双螺杆冷水机组.pdf
ko_0f494d201b166aea,蒸发器负载水水流量,,screw_chiller,hvac::performance_spec:蒸发器负载水水流量_蒸发器负载水水流量,hvac:screw_chiller:performance_spec:蒸发器负载水水流量,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_0fbed057d3b7219a,盘管水压降,,ahu,hvac::performance_spec:盘管水压降,hvac:ahu:performance_spec:盘管水压降,doc_f9572a136f664dc5,特灵组合式空气处理机组.pdf
ko_0fe181e30c4b4cda,一定条件下，机组余热回收生活热水进出水温度,,screw_chiller,hvac::performance_spec:一定条件下_机组余热回收生活热水进出水温度,hvac:screw_chiller:performance_spec:一定条件下_机组余热回收生活热水进出水温度_2,doc_e2b7a25c54bb445c,MWH1109XH01水水螺杆冷水机组（C系列R22）.pdf
ko_10900de0920c8434,热回收侧热水出水温度,,screw_chiller,hvac::performance_spec:热回收侧热水出水温度,hvac:screw_chiller:performance_spec:热回收侧热水出水温度_2,doc_fd0c92db05ea4570,MC系列H高效空气源螺杆式热泵机组.pdf
ko_111c72d2594e0a09,进出水管管径,,ahu,hvac::performance_spec:进出水管管径,hvac:ahu:performance_spec:进出水管管径,doc_63f0bd02957d4722,超薄吊顶式空气处理机组MPAXH10.pdf
ko_11becc6d84e45ec3,制冷量,,water_source_heat_pump,hvac::performance_spec:hvac::performance_spec:制冷量_制冷量_17,hvac:water_source_heat_pump:performance_spec:制冷量,doc_5c7b31cc79e0467a,莫问系列R134a满液式水水螺杆水源热泵冷水机组样本.pdf
ko_11d54400ac0e9110,制冷工况冷凝器进水温度(℃),,water_source_heat_pump,hvac::performance_spec:制冷工况冷凝器进水温度,hvac:water_source_heat_pump:performance_spec:制冷工况冷凝器进水温度,doc_ca9bf7b44c414517,满液螺杆式水地源热泵样本DJ-17-CD-01A.pdf
ko_1293c318da0b1aaa,IPLV,,screw_chiller,hvac::performance_spec:hvac::performance_spec:iplv_iplv,hvac:screw_chiller:performance_spec:iplv,doc_809485234940447b,03_麦克维尔单螺杆式冷水机组_PFS.pdf
ko_132f7a0333ae837d,气管尺寸,,ahu,hvac::performance_spec:气管尺寸,hvac:ahu:performance_spec:气管尺寸_2,doc_2c3038ab09db452e,VAC-VAVM-2401-直流变频直膨组合式空气处理机组.pdf
ko_13462eb3064f1fe2,水侧最大工作压力,,air_cooled_modular_heat_pump,hvac::performance_spec:水侧最大工作压力,hvac:air_cooled_modular_heat_pump:performance_spec:水侧最大工作压力_2,doc_472df0b1bd904961,风冷冷水（热泵）空调热水机组2015JC14--CGHR09BH.pdf
ko_13f000a0cb0d8a34,热泵制热名义工况使用侧水流量,,centrifugal_chiller,hvac::performance_spec:热泵制热名义工况使用侧水流量,hvac:centrifugal_chiller:performance_spec:热泵制热名义工况使用侧水流量_2,doc_9cd6680a1a704130,CC系列离心机组.pdf
ko_13f2281a889b634d,cooling coil operating water pressure,,ahu,hvac::performance_spec:cooling_coil_operating_water_pressure,hvac:ahu:performance_spec:cooling_coil_operating_water_pressure_2,doc_caaa2ea18c4a49de,daikin_ah_models_ahu_technical_catalog_air_handling_unit_ah_models_pdf.pdf
ko_14745867a05151e9,压缩机起动电流,,screw_chiller,hvac::performance_spec:压缩机起动电流_压缩机起动电流,hvac:screw_chiller:performance_spec:压缩机起动电流_2,doc_9c740929db094ed8,水冷低温螺杆式冷水机组手册.pdf
ko_147b060a0c4848c7,空调制热实测工况_使用侧出口水温,,air_cooled_modular_heat_pump,hvac::performance_spec:空调制热实测工况_使用侧出口水温,hvac:air_cooled_modular_heat_pump:performance_spec:空调制热实测工况_使用侧出口水温,doc_472df0b1bd904961,风冷冷水（热泵）空调热水机组2015JC14--CGHR09BH.pdf
ko_157eabfc7f467b70,名义制热量,,air_cooled_modular_heat_pump,hvac::performance_spec:hvac::performance_spec:名义制热量_名义制热量_2,hvac:air_cooled_modular_heat_pump:performance_spec:名义制热量,doc_472df0b1bd904961,风冷冷水（热泵）空调热水机组2015JC14--CGHR09BH.pdf
ko_163b711c623ba85b,名义工况下，负载侧进出水温度,,water_source_heat_pump,hvac::performance_spec:名义工况下_负载侧进出水温度_名义工况下_负载侧进出水温度_2,hvac:water_source_heat_pump:performance_spec:名义工况下_负载侧进出水温度_2,doc_b9c9d76283cc4f38,p-mwh-1303-v1.1-p水水螺杆式水源热泵冷水机组满液134a青干系列.pdf
ko_1675387e77dd1f25,机组重量,,screw_chiller,hvac::performance_spec:hvac::performance_spec:机组重量_机组重量_2,hvac:screw_chiller:performance_spec:机组重量,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_16f6d93504428918,水流量,,screw_chiller,hvac::performance_spec:水流量_水流量_2,hvac:screw_chiller:performance_spec:水流量_2,doc_b9f6ab162a964ef3,7，水冷螺杆冷水.pdf
ko_17451923e6c3e217,制冷实测工况_热源侧干球温度,,air_cooled_modular_heat_pump,hvac::performance_spec:制冷最大运行工况_干球温度_制冷实测工况_热源侧干球温度,hvac:air_cooled_modular_heat_pump:performance_spec:制冷实测工况_热源侧干球温度_2,doc_472df0b1bd904961,风冷冷水（热泵）空调热水机组2015JC14--CGHR09BH.pdf
ko_17460360b83ceaed,fan bearing life,,ahu,hvac::performance_spec:fan_bearing_life,hvac:ahu:performance_spec:fan_bearing_life_2,doc_caaa2ea18c4a49de,daikin_ah_models_ahu_technical_catalog_air_handling_unit_ah_models_pdf.pdf
ko_1788d39a2c50f6c3,机组启动电流,,screw_chiller,hvac::performance_spec:机组启动电流,hvac:screw_chiller:performance_spec:机组启动电流_2,doc_45308079fca94508,MC-H水冷螺杆样本DJ-17-CA-01A.pdf
ko_17ff9efcbff31940,"名义工况下, 机组制冷水侧进出口水温度",,water_source_heat_pump,hvac::performance_spec:名义工况下_机组制冷水侧进出口水温度,hvac:water_source_heat_pump:performance_spec:名义工况下_机组制冷水侧进出口水温度_2,doc_b9c9d76283cc4f38,p-mwh-1303-v1.1-p水水螺杆式水源热泵冷水机组满液134a青干系列.pdf
ko_18714175e424d253,混合制冷剂的制冷剂编号,,air_cooled_modular_heat_pump,hvac::performance_spec:混合制冷剂的制冷剂编号,hvac:air_cooled_modular_heat_pump:performance_spec:混合制冷剂的制冷剂编号_2,doc_ced95095a3c74169,风冷冷水(热泵)机组06001-2015LK1867--CGHR16DHAR--A2015CCC0703-2136935.pdf
ko_18e6bc3d32c08f06,水侧重量,,air_cooled_modular_heat_pump,hvac::performance_spec:水侧重量,hvac:air_cooled_modular_heat_pump:performance_spec:水侧重量_2,doc_d91d6f2fd782435a,风冷冷水(热泵)机组06001-2015LK1868--CGHR16BNAR--A2015CCC0703-2136902.pdf
ko_194398be01766635,冰水器冷媒侧耐压,,screw_chiller,hvac::performance_spec:冰水器冷媒侧耐压,hvac:screw_chiller:performance_spec:冰水器冷媒侧耐压_2,doc_4074061206b94f00,干式双螺杆冷水机组.pdf
ko_1950b1914522d7be,水流量,,ahu,hvac::performance_spec:水流量_水流量_6,hvac:ahu:performance_spec:水流量,doc_70d93ac2ac9c4fd4,美意空气处理机组7.9-2ok_OEM.pdf
ko_1a4892c3a67cc30f,制冷工况冷凝器出水温度(℃),,water_source_heat_pump,hvac::performance_spec:制冷工况冷凝器出水温度,hvac:water_source_heat_pump:performance_spec:制冷工况冷凝器出水温度,doc_ca9bf7b44c414517,满液螺杆式水地源热泵样本DJ-17-CD-01A.pdf
ko_1a6661fea5e79cfd,制冷量,,water_source_heat_pump,hvac::performance_spec:hvac::performance_spec:制冷量_制冷量_2,hvac:water_source_heat_pump:performance_spec:制冷量_2,doc_bd77ca88132e4b0a,03_麦克维尔单螺杆式水源热泵机组(R134a)_WPS.pdf
ko_1b7d3a28aeae433a,"名义工况下, 机组全热回收, 负载水出水温度",,water_source_heat_pump,hvac::performance_spec:名义工况下_机组全热回收_负载水出水温度,hvac:water_source_heat_pump:performance_spec:名义工况下_机组全热回收_负载水出水温度_2,doc_b9c9d76283cc4f38,p-mwh-1303-v1.1-p水水螺杆式水源热泵冷水机组满液134a青干系列.pdf
ko_1c3fd1d508a9ff11,机组防水等级,,air_cooled_modular_heat_pump,hvac::performance_spec:机组防水等级_机组防水等级,hvac:air_cooled_modular_heat_pump:performance_spec:机组防水等级,doc_ced95095a3c74169,风冷冷水(热泵)机组06001-2015LK1867--CGHR16DHAR--A2015CCC0703-2136935.pdf
ko_1c7a016a03a2be84,最大输入电流,,air_cooled_modular_heat_pump,hvac::performance_spec:最大输入电流,hvac:air_cooled_modular_heat_pump:performance_spec:最大输入电流,doc_ced95095a3c74169,风冷冷水(热泵)机组06001-2015LK1867--CGHR16DHAR--A2015CCC0703-2136935.pdf
ko_1cd083ffa7cc0257,蒸发器负载水水流量,,screw_chiller,hvac::performance_spec:蒸发器负载水水流量_蒸发器负载水水流量_2,hvac:screw_chiller:performance_spec:蒸发器负载水水流量_2,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_1cde078fa7031818,额定时运转温度范围,,water_source_heat_pump,hvac::performance_spec:额定时运转温度范围,hvac:water_source_heat_pump:performance_spec:额定时运转温度范围_2,doc_5faa3373b945486d,ETW离心高温水源热泵技术手册（73页）.pdf
ko_1cffba4806586ea8,最大工作电流,,screw_chiller,hvac::performance_spec:最大工作电流_最大工作电流_2,hvac:screw_chiller:performance_spec:最大工作电流,doc_b9f6ab162a964ef3,7，水冷螺杆冷水.pdf
ko_1d65239085e24731,压降,,ahu,hvac::performance_spec:机外静压,hvac:ahu:performance_spec:压降,doc_e2198c58886c45f6,MAH组合式空气处理机组.pdf
ko_1dae25e6f5ac314e,冷冻水流量,,water_source_heat_pump,hvac::performance_spec:冷冻水流量_冷冻水流量_2,hvac:water_source_heat_pump:performance_spec:冷冻水流量,doc_bd77ca88132e4b0a,03_麦克维尔单螺杆式水源热泵机组(R134a)_WPS.pdf
ko_1dc8b8c821668dca,蒸发器水压降,,screw_chiller,hvac::performance_spec:蒸发器水压降_蒸发器水压降_2,hvac:screw_chiller:performance_spec:蒸发器水压降,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_1deb8bcac05d0d9f,部分热回收水流量,,screw_chiller,hvac::performance_spec:部分热回收水流量_部分热回收水流量,hvac:screw_chiller:performance_spec:部分热回收水流量,doc_b9f6ab162a964ef3,7，水冷螺杆冷水.pdf
ko_1e0c3df22724b03b,空调制热实测工况_热源侧干球温度,,air_cooled_modular_heat_pump,hvac::performance_spec:空调制热实测工况_热源侧干球温度,hvac:air_cooled_modular_heat_pump:performance_spec:空调制热实测工况_热源侧干球温度_2,doc_472df0b1bd904961,风冷冷水（热泵）空调热水机组2015JC14--CGHR09BH.pdf
ko_1ec9578a5a2da040,电机功率 (II),,ahu,hvac::performance_spec:电机功率_ii,hvac:ahu:performance_spec:电机功率_ii_2,doc_70d93ac2ac9c4fd4,美意空气处理机组7.9-2ok_OEM.pdf
ko_1ee52f9417632267,宽(B),,centrifugal_chiller,hvac::performance_spec:宽_b,hvac:centrifugal_chiller:performance_spec:宽_b_2,doc_2f81c916e5184295,MC-H系列高效降膜式离心机样本DJ-17-LA-01A.pdf
ko_1ef4bf919eda2bf2,输入功率,,centrifugal_chiller,hvac::performance_spec:hvac::performance_spec:输入功率_输入功率_4,hvac:centrifugal_chiller:performance_spec:输入功率,doc_a856524d7a9045e3,MC系列高效降膜离心机组.pdf
ko_1f1737ce8b46b314,冷凝器接管通径,,centrifugal_chiller,hvac::performance_spec:冷凝器接管通径,hvac:centrifugal_chiller:performance_spec:冷凝器接管通径_2,doc_2f81c916e5184295,MC-H系列高效降膜式离心机样本DJ-17-LA-01A.pdf
ko_1f23d5f1737bdd45,水流量,,screw_chiller,hvac::performance_spec:水流量_水流量_3,hvac:screw_chiller:performance_spec:水流量_3,doc_14e744733fa547fb,MAS风冷螺杆样本.pdf
ko_1fe8803f802ce44a,制冷输入功率,,screw_chiller,hvac::performance_spec:制冷输入功率_制冷输入功率,hvac:screw_chiller:performance_spec:制冷输入功率,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_2066e20fd77e21e7,热回收水压降,,water_source_heat_pump,hvac::performance_spec:热回收水压降,hvac:water_source_heat_pump:performance_spec:热回收水压降_2,doc_bd77ca88132e4b0a,03_麦克维尔单螺杆式水源热泵机组(R134a)_WPS.pdf
ko_2081fa9ebe525072,全热回收换热器可选 水压降,,screw_chiller,hvac::performance_spec:全热回收换热器可选_水压降,hvac:screw_chiller:performance_spec:全热回收换热器可选_水压降_2,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_20a8fc63db2eebc1,能量调节范围,,screw_chiller,hvac::performance_spec:能量调节范围,hvac:screw_chiller:performance_spec:能量调节范围_2,doc_46b7322e023645a5,R134a满液式水冷螺杆样本DJ-17-CC-01A_重.pdf
ko_20d683e05556666f,冷凝器 水压降,,screw_chiller,hvac::performance_spec:冷凝器_水压降,hvac:screw_chiller:performance_spec:冷凝器_水压降_2,doc_45308079fca94508,MC-H水冷螺杆样本DJ-17-CA-01A.pdf
ko_21417ac025494b76,油泵马达额定输出,,water_source_heat_pump,hvac::performance_spec:油泵马达额定输出,hvac:water_source_heat_pump:performance_spec:油泵马达额定输出_2,doc_5faa3373b945486d,ETW离心高温水源热泵技术手册（73页）.pdf
ko_218d6bc820d06a76,液管尺寸,,ahu,hvac::performance_spec:液管尺寸,hvac:ahu:performance_spec:液管尺寸_2,doc_2c3038ab09db452e,VAC-VAVM-2401-直流变频直膨组合式空气处理机组.pdf
ko_224efd02bf5c0471,制冷输入功率kW,,screw_chiller,hvac::performance_spec:制冷输入功率kw,hvac:screw_chiller:performance_spec:制冷输入功率kw_2,doc_9b62f6bb79334703,水冷螺杆式冷水机组满液r22E系列P-MSW-1310-V1.3-P.pdf
ko_229a26951d59b56f,主电机额定输出,,water_source_heat_pump,hvac::performance_spec:主电机额定输出,hvac:water_source_heat_pump:performance_spec:主电机额定输出_2,doc_5faa3373b945486d,ETW离心高温水源热泵技术手册（73页）.pdf
ko_233958137e9db54c,空调制热实测工况_使用侧水流量,,air_cooled_modular_heat_pump,hvac::performance_spec:空调制热实测工况_使用侧水流量,hvac:air_cooled_modular_heat_pump:performance_spec:空调制热实测工况_使用侧水流量,doc_472df0b1bd904961,风冷冷水（热泵）空调热水机组2015JC14--CGHR09BH.pdf
ko_2365545b73fedbe4,冷凝器水压降kPa,,screw_chiller,hvac::performance_spec:冷凝器水压降kpa,hvac:screw_chiller:performance_spec:冷凝器水压降kpa_2,doc_9b62f6bb79334703,水冷螺杆式冷水机组满液r22E系列P-MSW-1310-V1.3-P.pdf
ko_23c29e6b0397c5fe,制冷量,,screw_chiller,hvac::performance_spec:hvac::performance_spec:制冷量_制冷量_5,hvac:screw_chiller:performance_spec:制冷量,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_23e2d272129df064,供冷,,ahu,hvac::performance_spec:key_6f7f6ff49a,hvac:ahu:performance_spec:供冷,doc_f97a69993a6e4511,VAH-2405-空气处理机组一吊顶系列.pdf
ko_240f6dcf7bd549d6,制冷COP,,screw_chiller,hvac::performance_spec:制冷cop_制冷cop_2,hvac:screw_chiller:performance_spec:制冷cop,doc_9773977431814c79,干式风冷螺杆式冷（热）水机组.pdf
ko_2415183bad851665,实用制热工况下负载侧进水温度,,screw_chiller,hvac::performance_spec:实用制热工况下负载侧进水温度,hvac:screw_chiller:performance_spec:实用制热工况下负载侧进水温度_2,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_245ac44eea082769,蒸发器水压降,,screw_chiller,hvac::performance_spec:蒸发器水压降_蒸发器水压降,hvac:screw_chiller:performance_spec:蒸发器水压降_2,doc_308d5eac93674c21,090507辰星二代水源螺杆R134a.pdf
ko_245f8c88225901fc,余热回收换热器可选制热量,,screw_chiller,hvac::performance_spec:余热回收换热器可选制热量,hvac:screw_chiller:performance_spec:余热回收换热器可选制热量,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_24707c8e32d9ee26,实用制热量,,screw_chiller,hvac::performance_spec:实用制热量,hvac:screw_chiller:performance_spec:实用制热量_2,doc_e2b7a25c54bb445c,MWH1109XH01水水螺杆冷水机组（C系列R22）.pdf
ko_247d220c3f234926,热泵制热名义工况热泵侧水流量,,centrifugal_chiller,hvac::performance_spec:热泵制热名义工况热泵侧水流量,hvac:centrifugal_chiller:performance_spec:热泵制热名义工况热泵侧水流量,doc_9cd6680a1a704130,CC系列离心机组.pdf
ko_2494c34c64ff654f,制热最大运行工况 冷媒水出水温度 t4,,air_cooled_modular_heat_pump,hvac::performance_spec:制热最大运行工况_冷媒水出水温度_t4,hvac:air_cooled_modular_heat_pump:performance_spec:制热最大运行工况_冷媒水出水温度_t4_2,doc_f981b97d70114c28,风冷冷水(热泵)机组06001-2015LK1871--CGHR09BNAR--A2015CCC0703-2136899.pdf
ko_24a577c8118a0cc7,制热最大运行工况 额定功率,,air_cooled_modular_heat_pump,hvac::performance_spec:制热最大运行工况_额定功率,hvac:air_cooled_modular_heat_pump:performance_spec:制热最大运行工况_额定功率_2,doc_ced95095a3c74169,风冷冷水(热泵)机组06001-2015LK1867--CGHR16DHAR--A2015CCC0703-2136935.pdf
ko_2516fd34054fd898,蒸发器源水水流量,,screw_chiller,hvac::performance_spec:蒸发器源水水流量_蒸发器源水水流量_2,hvac:screw_chiller:performance_spec:蒸发器源水水流量,doc_e2b7a25c54bb445c,MWH1109XH01水水螺杆冷水机组（C系列R22）.pdf
ko_2522ef9d2da1235a,制热量,,water_source_heat_pump,hvac::performance_spec:hvac::performance_spec:制热量_制热量,hvac:water_source_heat_pump:performance_spec:制热量,doc_bd77ca88132e4b0a,03_麦克维尔单螺杆式水源热泵机组(R134a)_WPS.pdf
ko_2531ad457e190296,机组内部阻力增加,,ahu,hvac::performance_spec:机组内部阻力增加,hvac:ahu:performance_spec:机组内部阻力增加_2,doc_6a66ce78e29e4d84,VAE-2404-组合式空调机组-落地系列.pdf
ko_254362321d43f2bb,频率波动范围,,centrifugal_chiller,hvac::performance_spec:频率波动范围,hvac:centrifugal_chiller:performance_spec:频率波动范围,doc_6de9539b3c82422e,10_麦克维尔两级压缩离心式冷水机组_WTC.pdf
ko_25797f9662e875b1,名义工况下，机组全热回收，负载侧出水温度,,water_source_heat_pump,hvac::performance_spec:名义工况下_机组全热回收_负载侧出水温度,hvac:water_source_heat_pump:performance_spec:名义工况下_机组全热回收_负载侧出水温度_2,doc_25cd05f610454bae,p-mwh-1212-v1.1-d青干系列水水螺杆式水源热泵冷水机组满液134a青干系列.pdf
ko_25a9709b6b31e94f,名义工况下，机组全热回收生活热水进出水温度,,screw_chiller,hvac::performance_spec:名义工况下_机组全热回收生活热水进出水温度,hvac:screw_chiller:performance_spec:名义工况下_机组全热回收生活热水进出水温度_2,doc_9ed23ce5a2854e7c,0910_XH3水水螺杆C.pdf
ko_25c91577d109bab9,制热量,,screw_chiller,hvac::performance_spec:hvac::performance_spec:制热量_制热量_4,hvac:screw_chiller:performance_spec:制热量,doc_e2b7a25c54bb445c,MWH1109XH01水水螺杆冷水机组（C系列R22）.pdf
ko_25ec0a954806662a,运转电流,,ahu,hvac::performance_spec:运转电流,hvac:ahu:performance_spec:运转电流_2,doc_ae0d6a9533d64270,quanrejioahuanqi.pdf
ko_25ec3d8ca52ef49f,防水程度符号,,air_cooled_modular_heat_pump,hvac::performance_spec:机组防水等级_防水程度符号,hvac:air_cooled_modular_heat_pump:performance_spec:防水程度符号,doc_ced95095a3c74169,风冷冷水(热泵)机组06001-2015LK1867--CGHR16DHAR--A2015CCC0703-2136935.pdf
